Country_Name,Country_Code,pop_1990,emissions_90,pop_1991,emissions_91,pop_1992,emissions_92,pop_1993,emissions_93,pop_1994,emissions_94,pop_1995,emissions_95,pop_1996,emissions_96,pop_1997,emissions_97,pop_1998,emissions_98,pop_1999,emissions_99,pop_2000,emissions_00,pop_2001,emissions_01,pop_2002,emissions_02,pop_2003,emissions_03,pop_2004,emissions_04,pop_2005,emissions_05,pop_2006,emissions_06,pop_2007,emissions_07,pop_2008,emissions_08,pop_2009,emissions_09,pop_2010,emissions_10,pop_2011,emissions_11,pop_2012,emissions_12
Aruba,ABW,62149,15.1768,64622,15.486,68235,15.898,72504,16.3861,76700,16.8768,80324,17.2964,83200,16.964,85451,21.5183,87277,17.3478,89005,17.5546,90853,18.0514,92898,18.4167,94992,18.9009,97017,19.3188,98737,19.803,100031,20.1826,100832,20.6759,101220,21.2466,101353,21.7437,101453,22.2462,101669,22.7407,102053,22.968107,102577,23.195514
Afghanistan,AFG,12249114,7627.58,12993657,7702.08,13981231,7385.53,15095099,7474.89,16172719,7666.93,17099541,7885.84,17822884,8611.68,18381605,9213.6,18863999,9700.17,19403676,10305.9,20093756,9384.18,20966463,8666.5,21979923,9929.43,23064851,10350.6,24118979,10521.4,25070798,10698.7,25893450,10869.9,26616792,11049.7,27294031,11224.4,28004331,11497.3,28803167,13493.3,29708599,13628.233,30696958,13763.166
Angola,AGO,12171441,22056.4,12553446,19167.4,12968345,28287.5,13403734,17547.5,13841301,19810,14268994,21420.5,14682284,20902.9,15088981,15071,15504318,16087,15949766,16092,16440924,15758.3,16983266,15496.9,17572649,15694.8,18203369,15589.8,18865716,15809,19552542,16358.6,20262399,16603.7,20997687,16551,21759420,17292.6,22549547,17997.9,23369131,18602.4,24218565,18788.424,25096150,18974.448
Albania,ALB,3286542,2546.96,3266790,2397.49,3247039,2268.97,3227287,2344.4,3207536,2783.96,3187784,2768.73,3168033,2618.41,3148281,2458.46,3128530,2371.49,3108778,2356.87,3089027,2608.8,3060173,2345.23,3051010,2333.22,3039616,2473.19,3026939,2470.02,3011487,2477.05,2992547,2485.28,2970017,2505.74,2947314,2516.63,2927519,2475.2,2913021,2592.37,2905195,2618.2937,2900401,2644.2174
"Arab World",ARB,224735446,251115.979,230829868,242115.094,235037179,258960.248,241286091,265432.045,247435930,273682.587,255029671,284590.375,260843462,292685.001,266575075,305629.756,272235146,312192.254,277962869,324941.756,283832016,338834.635,289850357,338279.927,296026575,346077.394,302434519,360946.249,309162029,372186.321,316264728,390212.534,323773264,416619.453,331653797,458840.654,339825483,448371.814,348145094,450868.358,356508908,460215.961,364895878,465511.697,373306993,470807.423
"United Arab Emirates",ARE,1860174,13606,1970026,14654.3,2086639,15097.3,2207405,14840.7,2328686,15746.5,2448820,17009.1,2571020,18626.2,2700010,18717.4,2838145,18896.1,2988162,18716.3,3154925,20332.7,3326032,19986.8,3507232,20738.6,3741932,21960.5,4087931,22552,4579562,22769.4,5242032,23928.4,6044067,24537.1,6894278,24457.4,7666393,25047,8270684,25607.4,8672475,25863.474,8900453,26119.548
Argentina,ARG,32729739,102083,33193918,100648,33655151,102146,34110917,101568,34558115,101069,34994814,102195,35419682,101400,35833969,102577,36241590,100269,36648068,98301.3,37057452,99214.1,37471509,98515.1,37889370,95893.3,38309379,101066,38728696,101501,39145488,100126,39558890,100025,39970224,97783.6,40382389,97896.6,40799407,93113.2,41223889,86741.6,41656879,87609.016,42096739,88476.432
Armenia,ARM,3538165,2889.7,3505251,2745.41,3442810,2605.21,3363098,2400.96,3283660,2537.16,3217342,2427.42,3168215,2561.53,3133086,2613.39,3108684,2552.16,3089017,2619.24,3069588,2565.36,3050655,2533.7,3033897,2604.24,3017806,2712.88,3000612,2826.69,2981259,2960.23,2958500,3084.15,2933056,3105.73,2908220,3234.91,2888584,3250.45,2877311,3328.72,2875581,3377.204507,2881922,3425.678014
"American Samoa",ASM,47038,8.84112,48375,9.11689,49593,9.35997,50720,9.58111,51803,9.77834,52868,9.95821,53929,10.1199,54941,10.2618,55901,10.3686,56770,10.4723,57521,10.5692,58175,10.6934,58731,10.8147,59117,10.9261,59264,11.0623,59118,11.216,58650,11.3831,57903,11.663,57030,12.0323,56227,12.4112,55637,12.858,55320,12.98658,55230,13.11516
"Antigua and Barbuda",ATG,66696,35.5108,67307,35.7635,68427,36.0069,69938,36.4707,71719,37.0902,73619,37.4865,75628,37.1301,77739,36.9801,79851,36.7529,81831,36.6888,83584,36.6767,85057,37.488,86266,38.0691,87293,38.6174,88257,39.402,89253,39.6399,90301,40.1914,91381,40.713,92478,41.3407,93581,41.8852,94661,42.4249,95719,42.849149,96777,43.273398
