Country_Name,Country_Code,pop_1990,emissions_90,pop_1991,emissions_91,pop_1992,emissions_92,pop_1993,emissions_93,pop_1994,emissions_94,pop_1995,emissions_95,pop_1996,emissions_96,pop_1997,emissions_97,pop_1998,emissions_98,pop_1999,emissions_99,pop_2000,emissions_00,pop_2001,emissions_01,pop_2002,emissions_02,pop_2003,emissions_03,pop_2004,emissions_04,pop_2005,emissions_05,pop_2006,emissions_06,pop_2007,emissions_07,pop_2008,emissions_08,pop_2009,emissions_09,pop_2010,emissions_10,pop_2011,emissions_11,pop_2012,emissions_12
Aruba,ABW,62149,15176.8,64622,15486,68235,15898,72504,16386.1,76700,16876.8,80324,17296.399999999998,83200,16964,85451,21518.3,87277,17347.8,89005,17554.600000000002,90853,18051.4,92898,18416.699999999997,94992,18900.9,97017,19318.8,98737,19803,100031,20182.600000000002,100832,20675.899999999998,101220,21246.600000000002,101353,21743.7,101453,22246.2,101669,22740.7,102053,22968.107,102577,23195.514
Afghanistan,AFG,12249114,7627580,12993657,7702080,13981231,7385530,15095099,7474890,16172719,7666930,17099541,7885840,17822884,8611680,18381605,9213600,18863999,9700170,19403676,10305900,20093756,9384180,20966463,8666500,21979923,9929430,23064851,10350600,24118979,10521400,25070798,10698700,25893450,10869900,26616792,11049700,27294031,11224400,28004331,11497300,28803167,13493300,29708599,13628233,30696958,13763166
Angola,AGO,12171441,22056400,12553446,19167400,12968345,28287500,13403734,17547500,13841301,19810000,14268994,21420500,14682284,20902900,15088981,15071000,15504318,16087000,15949766,16092000,16440924,15758300,16983266,15496900,17572649,15694800,18203369,15589800,18865716,15809000,19552542,16358600,20262399,16603700,20997687,16551000,21759420,17292600,22549547,17997900,23369131,18602400,24218565,18788424,25096150,18974448
Albania,ALB,3286542,2546960,3266790,2397490,3247039,2268970,3227287,2344400,3207536,2783960,3187784,2768730,3168033,2618410,3148281,2458460,3128530,2371490,3108778,2356870,3089027,2608800,3060173,2345230,3051010,2333220,3039616,2473190,3026939,2470020,3011487,2477050,2992547,2485280,2970017,2505740,2947314,2516630,2927519,2475200,2913021,2592370,2905195,2618293.7,2900401,2644217.4
"United Arab Emirates",ARE,1860174,13606000,1970026,14654300,2086639,15097300,2207405,14840700,2328686,15746500,2448820,17009100,2571020,18626200,2700010,18717400,2838145,18896100,2988162,18716300,3154925,20332700,3326032,19986800,3507232,20738600,3741932,21960500,4087931,22552000,4579562,22769400,5242032,23928400,6044067,24537100,6894278,24457400,7666393,25047000,8270684,25607400,8672475,25863474,8900453,26119548
Argentina,ARG,32729739,102083000,33193918,100648000,33655151,102146000,34110917,101568000,34558115,101069000,34994814,102195000,35419682,101400000,35833969,102577000,36241590,100269000,36648068,98301300,37057452,99214100,37471509,98515100,37889370,95893300,38309379,101066000,38728696,101501000,39145488,100126000,39558890,100025000,39970224,97783600,40382389,97896600,40799407,93113200,41223889,86741600,41656879,87609016,42096739,88476432
Armenia,ARM,3538165,2889700,3505251,2745410,3442810,2605210,3363098,2400960,3283660,2537160,3217342,2427420,3168215,2561530,3133086,2613390,3108684,2552160,3089017,2619240,3069588,2565360,3050655,2533700,3033897,2604240,3017806,2712880,3000612,2826690,2981259,2960230,2958500,3084150,2933056,3105730,2908220,3234910,2888584,3250450,2877311,3328720,2875581,3377204.5069999998,2881922,3425678.014
"American Samoa",ASM,47038,8841.12,48375,9116.89,49593,9359.970000000001,50720,9581.11,51803,9778.34,52868,9958.21,53929,10119.9,54941,10261.8,55901,10368.6,56770,10472.300000000001,57521,10569.2,58175,10693.4,58731,10814.7,59117,10926.1,59264,11062.300000000001,59118,11216,58650,11383.1,57903,11663,57030,12032.3,56227,12411.199999999999,55637,12858,55320,12986.58,55230,13115.16
"Antigua and Barbuda",ATG,66696,35510.8,67307,35763.5,68427,36006.9,69938,36470.700000000004,71719,37090.200000000004,73619,37486.5,75628,37130.1,77739,36980.1,79851,36752.899999999994,81831,36688.8,83584,36676.7,85057,37488,86266,38069.1,87293,38617.4,88257,39402,89253,39639.899999999994,90301,40191.4,91381,40713,92478,41340.7,93581,41885.2,94661,42424.9,95719,42849.149,96777,43273.398
Australia,AUS,17065100,115150000,17284000,120601000,17495000,116503000,17667000,112836000,17855000,123283000,18072000,112637000,18311000,113515000,18517000,118625000,18711000,116914000,18926000,121783000,19153000,128133000,19413000,136147000,19651400,132305000,19895400,125529000,20127400,126732000,20394800,122172000,20697900,119085000,20827600,135612000,21249200,122245000,21691700,127532000,22031750,122574000,22340024,124100341.8,22742475,125588193.6
Austria,AUT,7677850,10029300,7754891,10039800,7840709,9884560,7905633,9936150,7936118,9627200,7948278,9560780,7959017,9454040,7968041,9247570,7976789,9154760,7992324,9106530,8011566,8984800,8042293,8892310,8081957,8792200,8121423,8704100,8171966,8571020,8227829,8456510,8268641,8432230,8295487,8384120.000000001,8321496,8304940.000000001,8343323,8266990,8363404,8391490,8391643,8137708.272,8429991,8006813.544
Azerbaijan,AZE,7159000,11458500,7271000,11045700,7382000,10495100,7495000,9898540,7597000,9473400,7685000,9117490,7763000,8898350,7838250,8875620,7913000,9117410,7982750,9700050,8048600,9954630,8111200,10274200,8171950,10584200,8234100,11059900,8306500,11330600,8391850,12102300,8484550,13077100,8581300,14806800,8763400,16945900,8947243,17922200,9054332,18400500,9173082,19177907.770000003,9295784,19955363.54
Burundi,BDI,5415415,1716430,5542048,1748870,5661139,1793640,5771398,1844030,5871607,1855690,5962058,1847700,6041112,1897050,6112097,1921630,6186352,1968260,6278940,1496810,6400706,1504840,6555829,2089830,6741569,2130500,6953113,2133740,7182451,2231440,7423289,2279680,7675338,2353090,7939573,2413610,8212264,2482800,8489031,2587940,8766930,2665550,9043508,2692205.5,9319710,2718861
Belgium,BEL,9967379,12445000,10004486,12512000,10045158,12297800,10084475,12053300,10115603,12007000,10136811,12157700,10156637,11715800,10181245,11367900,10203008,11113100,10226419,11322700,10251250,11079000,10286570,10709900,10332785,10250100,10376133,9916400,10421137,9906040,10478617,9623690,10547958,9584150,10625700,9547300,10709973,9537890,10796493,9586100,10895586,9632350,11047744,9414724.963000001,11128246,9243348.927
Benin,BEN,4978496,5119500,5149499,4131130,5331803,4779610,5521763,4489970,5714220,4604690,5905558,4947610,6094259,4930250,6281639,5039620,6470265,4245880,6664098,4658250,6865951,4503770,7076733,4433230,7295394,4994050,7520555,4124689.9999999995,7750004,4369940,7982225,4377310,8216896,4526100,8454791,5598090,8696916,7086590,8944706,7181710,9199259,6845630,9460802,6914086.3,9729160,6982542.6
"Burkina Faso",BFA,8811034,7238160,9050084,7141100,9297113,7577760,9552476,7730340,9816588,8009290,10089878,8432060,10372745,8680180,10665546,9006010,10968724,9210400,11282701,8627910,11607942,9039730,11944587,10043700,12293100,10031400,12654621,10453400,13030569,11059700,13421930,11746200,13829177,12228700,14252021,13396200,14689726,13564000,15141099,14147200,15605217,14663900,16081904,14810539,16571216,14957178
Bangladesh,BGD,106188642,87092700,108727432,85947700,111221938,86069700,113695139,84822600,116182267,84986000,118706871,85432800,121269645,86646300,123854640,87234000,126447965,85824800,129029691,89556100,131581243,89247200,134107160,90645800,136600667,92039300,139019001,92994300,141307489,91778300,143431101,94197900,145368004,95019600,147139191,96499600,148805814,97832100,150454708,99687700,152149102,103080000,153911916,104110800,155727053,105141600
Bulgaria,BGR,8718289,15675500,8632367,15096200,8540164,14847600,8472313,14039000,8443591,13612600,8406067,13564600,8362826,13735800,8312068,13552900,8256786,13685200,8210624,13626700,8170172,13783300,8009142,13442500,7837161,13037500,7775327,13144400,7716860,13134300,7658972,12778300,7601022,12652300,7545338,12461800,7492561,12280200,7444443,11969900,7395599,12010700,7348328,11881800.74,7305888,11793664.489999998
Bahrain,BHR,495931,1800130,509765,1641380,523087,1798600,536213,1932960,549588,1938740,563699,1951660,578668,2074810,594930,2184400,613702,2302050,636545,2343820,664614,2382550,697549,2457670,735148,2568280,778711,2627620,829848,2690750,889168,2779460,958414,2925180,1035891,3058410,1114590,3195540,1185029,3239220,1240862,3312280,1278269,3345402.8,1300217,3378525.6
"Bahamas, The",BHS,256336,141460,261116,145567,266134,148491,271165,151936,275895,156015,280150,160252,283790,164748,286970,166832,290060,168870,293572,171277,297890,174776,303135,179165,309157,182339,315746,186350,322526,191765,329249,196505,335830,201000,342328,206223,348676,211842,354856,216937,360832,222181,366568,224402.81,372039,226624.62
"Bosnia and Herzegovina",BIH,4463422,4589450,4371603,4250820,4239154,3714740,4087999,3410670,3948816,1748270,3843712,1663950,3780378,1445330,3752431,1888930,3750485,2193350,3759118,2253680,3766706,2671650,3771284,2216680,3775807,2286000,3779247,2635670,3781287,2580150,3781530,2665650,3779468,2801770,3774000,2944540,3763599,3037430,3746561,3090910,3722084,3078600,3688865,3109386,3648200,3140172
Belarus,BLR,10189000,18649300,10194000,18044200,10216000,17377900,10239000,16563099.999999998,10227000,15777400,10194000,14837100,10160000,14268200,10117000,13965100,10069000,14006700,10026738,13819600,9979610,13322300,9928549,13379900,9865548,13442400,9796749,13221300,9730146,13458600,9663915,14045800,9604924,14442300,9560953,14870900,9527985,15344000,9506765,15913600,9490583,16437500,9473172,16528600.66,9464495,16619661.309999999
Belize,BLZ,187552,169855,191126,181809,194317,182770,197616,179955,201674,181384,206963,160494,213676,167411,221606,162969,230284,158402,239026,168345,247315,166999,254984,165936,262206,173831,269130,183814,276089,178063,283277,187507,290747,189883,298407,191835,306165,193103,313929,206720,321608,224011,329192,226251.11000000002,336701,228491.22
Bermuda,BMU,59326,24081.2,59021,24270.7,58595,24234.5,58910,24462.9,59320,24838.4,59746,25105.2,60129,25366.5,60497,25383.4,60943,25632.6,61285,26042.3,61833,26517.1,62504,26838.4,62912,27231.899999999998,63325,27582.2,63740,27994.3,64154,28321.3,64523,28716.2,64888,28961.4,65273,29419.3,65636,29879,65124,30352.9,64564,30656.429,64798,30959.958
Bolivia,BOL,6856244,22435900,6992521,21403200,7131707,23062200,7273825,25269100,7418861,19438400,7566714,20551200,7717443,21495600,7870855,22156900,8026254,19195000,8182712,37456800,8339512,19765700,8496375,19566800,8653345,23336200,8810420,19758900,8967741,55862700,9125409,29842800,9283334,19181000,9441444,19943600,9599855,21016200,9758748,21009000,9918242,22775900,10078343,23003659,10239004,23231418
Brazil,BRA,149352145,319678000,151976577,324383000,154564278,340142000,157132682,356615000,159705123,334732000,162296612,355036000,164913306,350573000,167545164,354875000,170170640,376882000,172759243,361634000,175287587,343027000,177750670,367626000,180151021,388268000,182482149,419110000,184738458,459552000,186917361,492336000,189012412,407314000,191026637,412677000,192979029,421460000,194895996,421609000,196796269,443289000,198686688,469456497.3,200560983,477076794.6
