"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1990",0.000004108,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1991",27.80840108,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1992",26.278165516,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1993",26.244478453,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1994",25.54124443,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1995",25.407555061,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1996",27.328711375,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1997",28.873698418,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1998",26.653348557,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","1999",27.98166484,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2000",26.41187439,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2001",24.51133092,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2002",25.166735679,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2003",25.861882531,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2004",28.61969874,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2005",27.108576302,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2006",26.967863713,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2007",24.131309129,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2008",23.331477024,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2009",23.466541955,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2010",25.349441592,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2011",23.347580441,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2012",22.515223785,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2013",23.851057595,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2014",22.704256867,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2015",14.668203816,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2016",16.446292611,
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.106295095,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1990",24.864912677,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1991",24.320258591,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1992",23.695982822,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1993",22.675218537,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1994",23.093630827,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1995",23.177033006,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1996",22.920398505,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1997",22.982163083,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1998",23.258232931,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","1999",23.681579335,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2000",23.298358886,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2001",22.394780719,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2002",22.312874644,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2003",23.550892844,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2004",22.615563533,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2005",21.909973678,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2006",21.639157627,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2007",22.085717216,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2008",21.430377464,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2009",20.407413994,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2010",20.178488374,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2011",19.691783592,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2012",19.803820619,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2013",19.558180655,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2014",18.208950966,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2015",16.379798957,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2016",17.442536639,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2017",17.281666209,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1990",5.999810498,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1991",6.400344757,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","1992",6.64958158,
