LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1990,0.000004108
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1991,27.80840108
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1992,26.27816552
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1993,26.24447845
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1994,25.54124443
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1995,25.40755506
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1996,27.32871138
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1997,28.87369842
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1998,26.65334856
AUS,MEATCONSUMP,BEEF,KG_CAP,A,1999,27.98166484
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2000,26.41187439
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2001,24.51133092
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2002,25.16673568
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2003,25.86188253
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2004,28.61969874
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2005,27.1085763
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2006,26.96786371
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2007,24.13130913
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2008,23.33147702
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2009,23.46654196
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2010,25.34944159
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2011,23.34758044
AUS,MEATCONSUMP,BEEF,KG_CAP,A,2012,22.51522379
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1990,24.86491268
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1991,24.32025859
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1992,23.69598282
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1993,22.67521854
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1994,23.09363083
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1995,23.17703301
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1996,22.92039851
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1997,22.98216308
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1998,23.25823293
CAN,MEATCONSUMP,BEEF,KG_CAP,A,1999,23.68157934
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2000,23.29835889
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2001,22.39478072
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2002,22.31287464
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2003,23.55089284
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2004,22.61556353
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2005,21.90997368
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2006,21.63915763
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2007,22.08571722
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2008,21.43037746
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2009,20.40741399
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2010,20.17848837
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2011,19.69178359
CAN,MEATCONSUMP,BEEF,KG_CAP,A,2012,19.80382062
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1990,5.999810498
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1991,6.400344757
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1992,6.64958158
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1993,7.285124944
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1994,8.002596143
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1995,8.407724249
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1996,7.965391561
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1997,8.071943711
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1998,8.185813405
JPN,MEATCONSUMP,BEEF,KG_CAP,A,1999,8.173006303
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2000,8.617503088
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2001,7.029356216
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2002,7.127829206
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2003,6.979397724
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2004,6.961678381
JPN,MEATCONSUMP,BEEF,KG_CAP,A,2005,6.23389012
