Country,Country Code,Continent,Region,Year,Population,Emissions,Emissions Per Capita
Afghanistan,4,Asia,Southern Asia,2012,,,
Afghanistan,4,Asia,Southern Asia,2011,,,
Afghanistan,4,Asia,Southern Asia,2010,,,
Afghanistan,4,Asia,Southern Asia,2009,,,
Afghanistan,4,Asia,Southern Asia,2008,,,
Afghanistan,4,Asia,Southern Asia,2007,,,
Afghanistan,4,Asia,Southern Asia,2006,,,
Afghanistan,4,Asia,Southern Asia,2005,,,
Afghanistan,4,Asia,Southern Asia,2004,,,
Afghanistan,4,Asia,Southern Asia,2003,,,
Afghanistan,4,Asia,Southern Asia,2002,,,
Afghanistan,4,Asia,Southern Asia,2001,,,
Afghanistan,4,Asia,Southern Asia,2000,,,
Afghanistan,4,Asia,Southern Asia,1999,,,
Afghanistan,4,Asia,Southern Asia,1998,,,
Afghanistan,4,Asia,Southern Asia,1997,,,
Afghanistan,4,Asia,Southern Asia,1996,,,
Afghanistan,4,Asia,Southern Asia,1995,,,
Afghanistan,4,Asia,Southern Asia,1994,,,
Afghanistan,4,Asia,Southern Asia,1993,,,
Afghanistan,4,Asia,Southern Asia,1992,,,
Afghanistan,4,Asia,Southern Asia,1991,,,
Afghanistan,4,Asia,Southern Asia,1990,,,
Albania,8,Europe,Southern Europe,2011,,,
Albania,8,Europe,Southern Europe,2010,,,
Albania,8,Europe,Southern Europe,2009,,,
Albania,8,Europe,Southern Europe,2008,,,
Albania,8,Europe,Southern Europe,2007,,,
Albania,8,Europe,Southern Europe,2006,,,
Albania,8,Europe,Southern Europe,2005,,,
Albania,8,Europe,Southern Europe,2004,,,
Albania,8,Europe,Southern Europe,2003,,,
Albania,8,Europe,Southern Europe,2002,,,
Albania,8,Europe,Southern Europe,2001,,,
Albania,8,Europe,Southern Europe,2000,,,
Albania,8,Europe,Southern Europe,1999,,,
Albania,8,Europe,Southern Europe,1998,,,
Albania,8,Europe,Southern Europe,1997,,,
Albania,8,Europe,Southern Europe,1996,,,
Albania,8,Europe,Southern Europe,1995,,,
Albania,8,Europe,Southern Europe,1994,,,
Albania,8,Europe,Southern Europe,1993,,,
Albania,8,Europe,Southern Europe,1992,,,
Albania,8,Europe,Southern Europe,1991,,,
Albania,8,Europe,Southern Europe,1990,,,
Algeria,12,Africa,Northern Africa,2011,,,
Algeria,12,Africa,Northern Africa,2010,,,
Algeria,12,Africa,Northern Africa,2009,,,
Algeria,12,Africa,Northern Africa,2008,,,
Algeria,12,Africa,Northern Africa,2007,,,
Algeria,12,Africa,Northern Africa,2006,,,
Algeria,12,Africa,Northern Africa,2005,,,
Algeria,12,Africa,Northern Africa,2004,,,
Algeria,12,Africa,Northern Africa,2003,,,
Algeria,12,Africa,Northern Africa,2002,,,
Algeria,12,Africa,Northern Africa,2001,,,
Algeria,12,Africa,Northern Africa,2000,,,
Algeria,12,Africa,Northern Africa,1999,,,
Algeria,12,Africa,Northern Africa,1998,,,
Algeria,12,Africa,Northern Africa,1997,,,
Algeria,12,Africa,Northern Africa,1996,,,
Algeria,12,Africa,Northern Africa,1995,,,
Algeria,12,Africa,Northern Africa,1994,,,
Algeria,12,Africa,Northern Africa,1993,,,
Algeria,12,Africa,Northern Africa,1992,,,
Algeria,12,Africa,Northern Africa,1991,,,
Algeria,12,Africa,Northern Africa,1990,,,
Andorra,20,Europe,Southern Europe,2011,,,
Andorra,20,Europe,Southern Europe,2010,,,
Andorra,20,Europe,Southern Europe,2009,,,
Andorra,20,Europe,Southern Europe,2008,,,
Andorra,20,Europe,Southern Europe,2007,,,
Andorra,20,Europe,Southern Europe,2006,,,
Andorra,20,Europe,Southern Europe,2005,,,
Andorra,20,Europe,Southern Europe,2004,,,
Andorra,20,Europe,Southern Europe,2003,,,
Andorra,20,Europe,Southern Europe,2002,,,
Andorra,20,Europe,Southern Europe,2001,,,
Andorra,20,Europe,Southern Europe,2000,,,
Andorra,20,Europe,Southern Europe,1999,,,
Andorra,20,Europe,Southern Europe,1998,,,
Andorra,20,Europe,Southern Europe,1997,,,
Andorra,20,Europe,Southern Europe,1996,,,
Andorra,20,Europe,Southern Europe,1995,,,
Angola,24,Africa,Middle Africa,2011,,,
Angola,24,Africa,Middle Africa,2010,,,
Angola,24,Africa,Middle Africa,2009,,,
Angola,24,Africa,Middle Africa,2008,,,
Angola,24,Africa,Middle Africa,2007,,,
Angola,24,Africa,Middle Africa,2006,,,
Angola,24,Africa,Middle Africa,2005,,,
Angola,24,Africa,Middle Africa,2004,,,
