Country,Country Code,Continent,Region,Year,Population,Emissions,Emissions Per Capita
Argentina,32,Americas,South America,2012,42096739,88476432,2.101740755
Argentina,32,Americas,South America,2011,41656879,87609016,2.103110413
Argentina,32,Americas,South America,2010,41223889,86741600,2.104158586
Argentina,32,Americas,South America,2009,40799407,93113200,2.282219445
Argentina,32,Americas,South America,2008,40382389,97896600,2.424239933
Argentina,32,Americas,South America,2007,39970224,97783600,2.446411108
Argentina,32,Americas,South America,2006,39558890,100025000,2.528508763
Argentina,32,Americas,South America,2005,39145488,100126000,2.55779159
Argentina,32,Americas,South America,2004,38728696,101501000,2.620821522
Argentina,32,Americas,South America,2003,38309379,101066000,2.638152918
Argentina,32,Americas,South America,2002,37889370,95893300,2.530876074
Argentina,32,Americas,South America,2001,37471509,98515100,2.629066793
Argentina,32,Americas,South America,2000,37057452,99214100,2.677304959
Argentina,32,Americas,South America,1999,36648068,98301300,2.682305108
Argentina,32,Americas,South America,1998,36241590,100269000,2.76668325
Argentina,32,Americas,South America,1997,35833969,102577000,2.862563173
Argentina,32,Americas,South America,1996,35419682,101400000,2.862815087
Argentina,32,Americas,South America,1995,34994814,102195000,2.920289846
Argentina,32,Americas,South America,1994,34558115,101069000,2.924609748
Argentina,32,Americas,South America,1993,34110917,101568000,2.977580462
Argentina,32,Americas,South America,1992,33655151,102146000,3.035077751
Argentina,32,Americas,South America,1991,33193918,100648000,3.032121728
Argentina,32,Americas,South America,1990,32729739,102083000,3.118967738
Australia,36,Oceania,Australia and New Zealand,2012,22742475,125588193.6,5.522186728
Australia,36,Oceania,Australia and New Zealand,2011,22340024,124100341.8,5.555067524
Australia,36,Oceania,Australia and New Zealand,2010,22031750,122574000,5.563516289
Australia,36,Oceania,Australia and New Zealand,2009,21691700,127532000,5.879299456
Australia,36,Oceania,Australia and New Zealand,2008,21249200,122245000,5.752922463
Australia,36,Oceania,Australia and New Zealand,2007,20827600,135612000,6.511167873
Australia,36,Oceania,Australia and New Zealand,2006,20697900,119085000,5.753482237
Australia,36,Oceania,Australia and New Zealand,2005,20394800,122172000,5.990350481
Australia,36,Oceania,Australia and New Zealand,2004,20127400,126732000,6.29649135
Australia,36,Oceania,Australia and New Zealand,2003,19895400,125529000,6.309448415
Australia,36,Oceania,Australia and New Zealand,2002,19651400,132305000,6.732599204
Australia,36,Oceania,Australia and New Zealand,2001,19413000,136147000,7.01318704
Australia,36,Oceania,Australia and New Zealand,2000,19153000,128133000,6.68997024
Australia,36,Oceania,Australia and New Zealand,1999,18926000,121783000,6.434693015
Australia,36,Oceania,Australia and New Zealand,1998,18711000,116914000,6.248410026
Australia,36,Oceania,Australia and New Zealand,1997,18517000,118625000,6.406275315
Australia,36,Oceania,Australia and New Zealand,1996,18311000,113515000,6.199279122
Australia,36,Oceania,Australia and New Zealand,1995,18072000,112637000,6.23268039
Australia,36,Oceania,Australia and New Zealand,1994,17855000,123283000,6.904676561
Australia,36,Oceania,Australia and New Zealand,1993,17667000,112836000,6.38682289
Australia,36,Oceania,Australia and New Zealand,1992,17495000,116503000,6.659216919
Australia,36,Oceania,Australia and New Zealand,1991,17284000,120601000,6.97760935
Australia,36,Oceania,Australia and New Zealand,1990,17065100,115150000,6.747689729
Brazil,76,Americas,South America,2012,200560983,477076794.6,2.378711888
Brazil,76,Americas,South America,2011,198686688,469456497.3,2.362797941
Brazil,76,Americas,South America,2010,196796269,443289000,2.25252746
Brazil,76,Americas,South America,2009,194895996,421609000,2.163251214
Brazil,76,Americas,South America,2008,192979029,421460000,2.183967876
Brazil,76,Americas,South America,2007,191026637,412677000,2.160311287
Brazil,76,Americas,South America,2006,189012412,407314000,2.154959009
Brazil,76,Americas,South America,2005,186917361,492336000,2.633976841
Brazil,76,Americas,South America,2004,184738458,459552000,2.48758166
Brazil,76,Americas,South America,2003,182482149,419110000,2.296717801
Brazil,76,Americas,South America,2002,180151021,388268000,2.155236189
Brazil,76,Americas,South America,2001,177750670,367626000,2.068211613
Brazil,76,Americas,South America,2000,175287587,343027000,1.956938343
Brazil,76,Americas,South America,1999,172759243,361634000,2.093283078
Brazil,76,Americas,South America,1998,170170640,376882000,2.214729873
Brazil,76,Americas,South America,1997,167545164,354875000,2.118085605
Brazil,76,Americas,South America,1996,164913306,350573000,2.125801783
Brazil,76,Americas,South America,1995,162296612,355036000,2.187574932
Brazil,76,Americas,South America,1994,159705123,334732000,2.095937774
Brazil,76,Americas,South America,1993,157132682,356615000,2.269515135
Brazil,76,Americas,South America,1992,154564278,340142000,2.200650787
Brazil,76,Americas,South America,1991,151976577,324383000,2.134427597
Brazil,76,Americas,South America,1990,149352145,319678000,2.140431261
Canada,124,Americas,Northern America,2012,34750545,106846774.3,3.074679096
Canada,124,Americas,Northern America,2011,34342780,105687662.2,3.077434681
Canada,124,Americas,Northern America,2010,34005274,104529000,3.073905536
Canada,124,Americas,Northern America,2009,33628571,103829000,3.087523404
Canada,124,Americas,Northern America,2008,33245773,107850000,3.244021428
Canada,124,Americas,Northern America,2007,32887928,107975000,3.283119569
Canada,124,Americas,Northern America,2006,32570505,107954000,3.314471176
Canada,124,Americas,Northern America,2005,32312000,108519000,3.358473632
Canada,124,Americas,Northern America,2004,31995000,114500000,3.578684169
Canada,124,Americas,Northern America,2003,31676000,111137000,3.508555373
Canada,124,Americas,Northern America,2002,31362000,106819000,3.406000893
Canada,124,Americas,Northern America,2001,31081900,103053000,3.315530904
Canada,124,Americas,Northern America,2000,30769700,102170000,3.320474363
Canada,124,Americas,Northern America,1999,30499200,104782000,3.435565523
Canada,124,Americas,Northern America,1998,30247900,114948000,3.8001977
Canada,124,Americas,Northern America,1997,29987200,98142200,3.272803063
Canada,124,Americas,Northern America,1996,29671900,97909600,3.299741506
Canada,124,Americas,Northern America,1995,29354000,109622000,3.734482524
Canada,124,Americas,Northern America,1994,29111906,104467000,3.588463084
Canada,124,Americas,Northern America,1993,28833410,89389900,3.100219502
Canada,124,Americas,Northern America,1992,28519597,83400600,2.924326034
Canada,124,Americas,Northern America,1991,28171682,81474000,2.892053091
Canada,124,Americas,Northern America,1990,27791000,77163500,2.776564355
China,156,Asia,Eastern Asia,2012,1350695000,1752290140,1.297324814
China,156,Asia,Eastern Asia,2011,1344130000,1697274470,1.262730889
China,156,Asia,Eastern Asia,2010,1337705000,1642260000,1.227669778
China,156,Asia,Eastern Asia,2009,1331260000,1582750000,1.188911257
China,156,Asia,Eastern Asia,2008,1324655000,1537220000,1.160468197
China,156,Asia,Eastern Asia,2007,1317885000,1444170000,1.095823991
China,156,Asia,Eastern Asia,2006,1311020000,1392640000,1.062256869
China,156,Asia,Eastern Asia,2005,1303720000,1327790000,1.018462553
China,156,Asia,Eastern Asia,2004,1296075000,1251300000,0.965453388
China,156,Asia,Eastern Asia,2003,1288400000,1146530000,0.889886681
China,156,Asia,Eastern Asia,2002,1280400000,1085790000,0.848008435
China,156,Asia,Eastern Asia,2001,1271850000,1051690000,0.826897826
China,156,Asia,Eastern Asia,2000,1262645000,1043400000,0.826360537
China,156,Asia,Eastern Asia,1999,1252735000,1055950000,0.8429157
China,156,Asia,Eastern Asia,1998,1241935000,1060240000,0.853700073
China,156,Asia,Eastern Asia,1997,1230075000,1066800000,0.867264191
China,156,Asia,Eastern Asia,1996,1217550000,1093470000,0.898090427
China,156,Asia,Eastern Asia,1995,1204855000,1075420000,0.892572135
China,156,Asia,Eastern Asia,1994,1191835000,1020310000,0.856083267
China,156,Asia,Eastern Asia,1993,1178440000,1002980000,0.851108245
China,156,Asia,Eastern Asia,1992,1164970000,1010330000,0.867258384
China,156,Asia,Eastern Asia,1991,1150780000,1013520000,0.880724378
China,156,Asia,Eastern Asia,1990,1135185000,1016910000,0.895809934
India,356,Asia,Southern Asia,2012,1263065852,636395827.2,0.503850077
India,356,Asia,Southern Asia,2011,1247236029,628938063.6,0.504265471
India,356,Asia,Southern Asia,2010,1230980691,621480000,0.504865758
India,356,Asia,Southern Asia,2009,1214270132,620918000,0.511350797
India,356,Asia,Southern Asia,2008,1197146906,606364000,0.506507595
India,356,Asia,Southern Asia,2007,1179681239,598069000,0.506975088
India,356,Asia,Southern Asia,2006,1161977719,589705000,0.507501125
India,356,Asia,Southern Asia,2005,1144118674,584676000,0.511027408
India,356,Asia,Southern Asia,2004,1126135777,577716000,0.513007412
India,356,Asia,Southern Asia,2003,1108027848,575287000,0.519199045
India,356,Asia,Southern Asia,2002,1089807112,565939000,0.519301988
India,356,Asia,Southern Asia,2001,1071477855,568476000,0.530553196
India,356,Asia,Southern Asia,2000,1053050912,561733000,0.533433848
India,356,Asia,Southern Asia,1999,1034539214,571165000,0.552096037
India,356,Asia,Southern Asia,1998,1015974042,553240000,0.544541472
India,356,Asia,Southern Asia,1997,997405318,550939000,0.55237223
India,356,Asia,Southern Asia,1996,978893217,547580000,0.559386857
India,356,Asia,Southern Asia,1995,960482795,542270000,0.564580649
India,356,Asia,Southern Asia,1994,942204249,535828000,0.568696225
India,356,Asia,Southern Asia,1993,924057817,529117000,0.572601617
India,356,Asia,Southern Asia,1992,906021106,524521000,0.578928015
India,356,Asia,Southern Asia,1991,888054875,520959000,0.586629289
India,356,Asia,Southern Asia,1990,870133480,513704000,0.59037379
Indonesia,360,Asia,South-Eastern Asia,2012,248883232,223315740,0.897271135
Indonesia,360,Asia,South-Eastern Asia,2011,245707511,221126370,0.899957714
Indonesia,360,Asia,South-Eastern Asia,2010,242524123,218937000,0.902743188
Indonesia,360,Asia,South-Eastern Asia,2009,239340478,302828000,1.265260279
Indonesia,360,Asia,South-Eastern Asia,2008,236159276,215937000,0.914370181
Indonesia,360,Asia,South-Eastern Asia,2007,232989141,214323000,0.919884073
Indonesia,360,Asia,South-Eastern Asia,2006,229838202,515945000,2.244818292
Indonesia,360,Asia,South-Eastern Asia,2005,226712730,307454000,1.35613911
Indonesia,360,Asia,South-Eastern Asia,2004,223614649,250429000,1.119913213
Indonesia,360,Asia,South-Eastern Asia,2003,220545214,216483000,0.981581038
Indonesia,360,Asia,South-Eastern Asia,2002,217508059,342524000,1.574764639
