Country,Country Code,Continent,Region,Year,Emissions,Emissions Per Capita
Argentina,32,Americas,South America,2012,88476432,2.101740755
Argentina,32,Americas,South America,2011,87609016,2.103110413
Argentina,32,Americas,South America,2010,86741600,2.104158586
Argentina,32,Americas,South America,2009,93113200,2.282219445
Argentina,32,Americas,South America,2008,97896600,2.424239933
Argentina,32,Americas,South America,2007,97783600,2.446411108
Argentina,32,Americas,South America,2006,100025000,2.528508763
Argentina,32,Americas,South America,2005,100126000,2.55779159
Argentina,32,Americas,South America,2004,101501000,2.620821522
Argentina,32,Americas,South America,2003,101066000,2.638152918
Argentina,32,Americas,South America,2002,95893300,2.530876074
Argentina,32,Americas,South America,2001,98515100,2.629066793
Argentina,32,Americas,South America,2000,99214100,2.677304959
Argentina,32,Americas,South America,1999,98301300,2.682305108
Argentina,32,Americas,South America,1998,100269000,2.76668325
Argentina,32,Americas,South America,1997,102577000,2.862563173
Argentina,32,Americas,South America,1996,101400000,2.862815087
Argentina,32,Americas,South America,1995,102195000,2.920289846
Argentina,32,Americas,South America,1994,101069000,2.924609748
Argentina,32,Americas,South America,1993,101568000,2.977580462
Argentina,32,Americas,South America,1992,102146000,3.035077751
Argentina,32,Americas,South America,1991,100648000,3.032121728
Argentina,32,Americas,South America,1990,102083000,3.118967738
Australia,36,Oceania,Australia and New Zealand,2012,125588193.6,5.522186728
Australia,36,Oceania,Australia and New Zealand,2011,124100341.8,5.555067524
Australia,36,Oceania,Australia and New Zealand,2010,122574000,5.563516289
Australia,36,Oceania,Australia and New Zealand,2009,127532000,5.879299456
Australia,36,Oceania,Australia and New Zealand,2008,122245000,5.752922463
Australia,36,Oceania,Australia and New Zealand,2007,135612000,6.511167873
Australia,36,Oceania,Australia and New Zealand,2006,119085000,5.753482237
Australia,36,Oceania,Australia and New Zealand,2005,122172000,5.990350481
Australia,36,Oceania,Australia and New Zealand,2004,126732000,6.29649135
Australia,36,Oceania,Australia and New Zealand,2003,125529000,6.309448415
Australia,36,Oceania,Australia and New Zealand,2002,132305000,6.732599204
Australia,36,Oceania,Australia and New Zealand,2001,136147000,7.01318704
Australia,36,Oceania,Australia and New Zealand,2000,128133000,6.68997024
Australia,36,Oceania,Australia and New Zealand,1999,121783000,6.434693015
Australia,36,Oceania,Australia and New Zealand,1998,116914000,6.248410026
Australia,36,Oceania,Australia and New Zealand,1997,118625000,6.406275315
Australia,36,Oceania,Australia and New Zealand,1996,113515000,6.199279122
Australia,36,Oceania,Australia and New Zealand,1995,112637000,6.23268039
Australia,36,Oceania,Australia and New Zealand,1994,123283000,6.904676561
Australia,36,Oceania,Australia and New Zealand,1993,112836000,6.38682289
Australia,36,Oceania,Australia and New Zealand,1992,116503000,6.659216919
Australia,36,Oceania,Australia and New Zealand,1991,120601000,6.97760935
Australia,36,Oceania,Australia and New Zealand,1990,115150000,6.747689729
Brazil,76,Americas,South America,2012,477076794.6,2.378711888
Brazil,76,Americas,South America,2011,469456497.3,2.362797941
Brazil,76,Americas,South America,2010,443289000,2.25252746
Brazil,76,Americas,South America,2009,421609000,2.163251214
Brazil,76,Americas,South America,2008,421460000,2.183967876
Brazil,76,Americas,South America,2007,412677000,2.160311287
Brazil,76,Americas,South America,2006,407314000,2.154959009
Brazil,76,Americas,South America,2005,492336000,2.633976841
Brazil,76,Americas,South America,2004,459552000,2.48758166
Brazil,76,Americas,South America,2003,419110000,2.296717801
Brazil,76,Americas,South America,2002,388268000,2.155236189
Brazil,76,Americas,South America,2001,367626000,2.068211613
Brazil,76,Americas,South America,2000,343027000,1.956938343
