Country,Year,KG_Per_Capita
Australia,1990,4.11E-06
Australia,1991,27.80840108
Australia,1992,26.27816552
Australia,1993,26.24447845
Australia,1994,25.54124443
Australia,1995,25.40755506
Australia,1996,27.32871138
Australia,1997,28.87369842
Australia,1998,26.65334856
Australia,1999,27.98166484
Australia,2000,26.41187439
Australia,2001,24.51133092
Australia,2002,25.16673568
Australia,2003,25.86188253
Australia,2004,28.61969874
Australia,2005,27.1085763
Australia,2006,26.96786371
Australia,2007,24.13130913
Australia,2008,23.33147702
Australia,2009,23.46654196
Australia,2010,25.34944159
Australia,2011,23.34758044
Australia,2012,22.51522379
Canada,1990,24.86491268
Canada,1991,24.32025859
Canada,1992,23.69598282
Canada,1993,22.67521854
Canada,1994,23.09363083
Canada,1995,23.17703301
Canada,1996,22.92039851
Canada,1997,22.98216308
Canada,1998,23.25823293
Canada,1999,23.68157934
Canada,2000,23.29835889
Canada,2001,22.39478072
Canada,2002,22.31287464
Canada,2003,23.55089284
Canada,2004,22.61556353
Canada,2005,21.90997368
Canada,2006,21.63915763
Canada,2007,22.08571722
Canada,2008,21.43037746
Canada,2009,20.40741399
Canada,2010,20.17848837
Canada,2011,19.69178359
Canada,2012,19.80382062
Japan,1990,5.999810498
Japan,1991,6.400344757
Japan,1992,6.64958158
Japan,1993,7.285124944
Japan,1994,8.002596143
Japan,1995,8.407724249
Japan,1996,7.965391561
Japan,1997,8.071943711
Japan,1998,8.185813405
Japan,1999,8.173006303
Japan,2000,8.617503088
Japan,2001,7.029356216
Japan,2002,7.127829206
Japan,2003,6.979397724
Japan,2004,6.961678381
Japan,2005,6.23389012
Japan,2006,6.187077364
Japan,2007,6.379489271
Japan,2008,6.384995149
Japan,2009,6.491157789
Japan,2010,6.706219442
Japan,2011,6.721865982
Japan,2012,6.730751448
"Korea,Rep.",1990,1.63E-06
"Korea,Rep.",1991,5.083842684
"Korea,Rep.",1992,5.666858513
"Korea,Rep.",1993,5.292288659
"Korea,Rep.",1994,5.648220553
"Korea,Rep.",1995,6.481635969
"Korea,Rep.",1996,6.712539766
"Korea,Rep.",1997,7.586673804
"Korea,Rep.",1998,6.807463243
"Korea,Rep.",1999,8.082899898
"Korea,Rep.",2000,8.405286176
"Korea,Rep.",2001,7.255908695
"Korea,Rep.",2002,8.236572504
"Korea,Rep.",2003,7.952056745
"Korea,Rep.",2004,6.469216821
"Korea,Rep.",2005,5.974693511
"Korea,Rep.",2006,6.637841057
"Korea,Rep.",2007,7.437198448
"Korea,Rep.",2008,7.674774318
"Korea,Rep.",2009,7.191312654
"Korea,Rep.",2010,8.320848085
"Korea,Rep.",2011,8.707004009
"Korea,Rep.",2012,8.841522358
Mexico,1990,7.261090006
Mexico,1991,8.814983841
Mexico,1992,9.182074638
Mexico,1993,8.30997866
Mexico,1994,9.740694301
Mexico,1995,8.334465647
Mexico,1996,9.666468837
Mexico,1997,9.910710325
Mexico,1998,10.67567276
Mexico,1999,10.57677603
Mexico,2000,10.49153903
Mexico,2001,10.75139119
Mexico,2002,11.5213677
Mexico,2003,10.68923278
Mexico,2004,10.16583955
Mexico,2005,10.42858109
Mexico,2006,9.780707015
Mexico,2007,10.44800711
Mexico,2008,10.81392566
Mexico,2009,10.27556695
Mexico,2010,9.692381022
Mexico,2011,8.797268405
Mexico,2012,8.788203625
New Zealand,1990,26.07147352
New Zealand,1991,24.02986719
New Zealand,1992,24.80055904
New Zealand,1993,24.15063205
New Zealand,1994,21.02291852
New Zealand,1995,28.21808131
New Zealand,1996,29.05699922
New Zealand,1997,25.25784536
New Zealand,1998,21.91882027
New Zealand,1999,23.14591069
New Zealand,2000,23.26710495
New Zealand,2001,21.66332125
New Zealand,2002,16.95234814
New Zealand,2003,23.15017902
New Zealand,2004,20.18231531
New Zealand,2005,15.74863248
New Zealand,2006,17.18708752
New Zealand,2007,20.09374078
New Zealand,2008,20.14212688
New Zealand,2009,17.65916897
New Zealand,2010,19.39838339
New Zealand,2011,19.63929528
New Zealand,2012,18.30044315
Turkey,1990,4.954876493
Turkey,1991,4.760634338
Turkey,1992,4.241143597
Turkey,1993,4.130238165
Turkey,1994,3.782978369
Turkey,1995,3.702809298
Turkey,1996,3.808281622
Turkey,1997,4.463768705
Turkey,1998,4.149625308
Turkey,1999,3.986229702
Turkey,2000,3.96771314
Turkey,2001,3.613482443
Turkey,2002,3.53384407
Turkey,2003,3.188608789
Turkey,2004,3.927008658
Turkey,2005,3.373110636
Turkey,2006,3.523211276
Turkey,2007,4.344333428
Turkey,2008,3.726149496
Turkey,2009,3.16035839
Turkey,2010,5.937248496
Turkey,2011,6.033200956
Turkey,2012,7.317690864
United States of America,1990,30.62289194
United States of America,1991,30.40783982
United States of America,1992,30.30476889
United States of America,1993,29.6626509
United States of America,1994,30.7129812
United States of America,1995,30.89802361
United States of America,1996,30.99587099
United States of America,1997,30.26926593
United States of America,1998,30.61686646
United States of America,1999,30.93746274
United States of America,2000,31.03662604
United States of America,2001,30.35202385
United States of America,2002,31.01335734
United States of America,2003,29.78073083
United States of America,2004,30.31128389
United States of America,2005,30.03546945
